date,CTL,T,CSCO,FCX,XL,IVZ,AMT,WHR,IR,WFT,YUM,CVS,GD,TYC,EL,MUR,CTAS,CBSA,SNV,CAM,DLTR,CAH,DTE,SSP,PSA,EXC,TKR,CMA,ORCL,MS,RSG,ACAS,AGN,MMM,ETFC,CAR,MDR,NOV,PCH,BAX,JCI,SWK,DVN,TMO,PEP,LNC,EMR,MLM,CCI,NU,Market,,,,,,
200109,-4.4223,15.1797,-25.4133,-11.2278,-4.8193,-25.7581,-4.0083,-16.1618,-16.6872,-23.3243,-7.9775,-8.0587,11.8541,-12.3917,-14.5431,-4.1589,-13.445,-17.6484,-9.9756,-24.1619,-20.3961,1.419,0.6352,-6.9366,3.1363,-18.315,-8.6667,-6.5439,3.0303,-13.1209,-18.3879,-0.9568,-8.2353,-5.4755,-5.4687,-32.8789,-22.5352,-6.6924,-18.2121,6.686,-10.5119,-12.7477,-25.5457,-16.7051,3.5,-6.4781,-12.2015,-0.9873,-11.6781,-3.9487,-9.1488,,,,,,
200110,-5.6716,-18.5776,38.9163,1.0009,9.9494,10.904,-20.6623,6.6305,10.355,34.1827,28.9903,-27.8389,-7.2917,8,-2.7149,9.8673,0.2978,4.9499,-16.5942,18.9024,18.9518,-9.2495,-3.1591,1.2477,-1.527,-5.6726,-1.6788,-16.8051,7.7901,6.041,1.1111,-9.5655,8.2805,6.0772,7.9339,1.25,28.4849,27.7241,-7.1878,-12.1344,10.8522,4.8427,11.3372,17.1191,0.433,-8.5246,4.1649,2.0711,30,-5.7662,2.7833,,,,,,
200111,7.1202,-1.9155,20.8038,20.2703,7.5754,18.4874,-20.1452,11.9959,12.7614,-2.2203,-6.2068,12.7615,1.8995,19.6581,3.4729,-9.0755,5.7397,19.2203,2.0851,-6.0513,24.7886,1.803,-0.9355,3.7782,3.3749,7.0418,6.2361,11.4342,3.4661,13.4505,5.3114,12.1518,5.2793,10.3468,22.5115,31.4815,6.3208,-9.611199,11.8164,7.5047,9.9557,9.681601,-10.2089,14.8307,-0.1642,12.6328,11.072,6.8136,-6.9231,-0.7082,7.878,,,,,,
200112,-2.9586,4.7886,-11.3992,0.2996,-1.7423,2.9078,7.6136,11.5116,-0.191,11.3236,3.6881,9.833,-4.2213,0.1913,-3.7758,16.8683,12.307,1.1891,7.1383,10.1528,10.2354,-5.3205,2.7966,3.3673,-0.4412,7.3302,14.1044,12.4221,-1.5681,0.7928,15.7681,4.4276,-0.5829,3.1681,28.125,15.0822,8.8731,23.1183,5.2405,4.2538,1.9618,11.4381,12.5327,9.953899,0.4215,1.8239,5.6234,9.647099,-1.9284,1.3218,1.7848,,,,,,
200201,-6.1585,-3.7369,9.3319,16.1314,-3.032,-4.0662,-45.5121,-0.8591,5.7985,3.3011,13.4146,-7.9139,12.8076,-40.3226,0.7486,-5.9971,4.2083,-9.7627,10.3393,5.3766,6.7939,1.9332,-2.2413,7.424201,9.6108,2.8404,2.5958,-1.7626,24.9819,-1.2692,-12.8693,-4.3034,-11.0593,-6.0993,-12.4878,-10.8618,0.815,-7.5691,-0.9891,4.1022,4.0991,-4.8744,-3.6999,-7.9631,2.8753,6.6914,1.4711,-12.5107,-31.9288,2.7226,-1.5977,,,,,,
200202,7.8622,1.0414,-27.9293,-5.7878,8.1026,-14.1523,-6.2015,3.7689,13.4186,19.7714,5.9677,0.4412,1.4739,-17.212,-3.4056,9.5633,-10.9556,16.9296,6.0058,5.5725,-2.9385,0.2731,1.0244,6.2764,0.4097,0.9748,8.9157,6.3244,-3.708,-10.6909,3.1609,5.4921,-2.7266,6.8018,-9.698999,-0.4005,15.7639,9.763801,2.5146,-0.6269,5.5912,14.3792,17.3563,-7.3315,0.8185,-0.5631,0.0647,2.7471,-14.5805,2.1811,-2.1695,,,,,,
200203,2.5678,-1.0571,18.6405,20.273,-2.005,16.0669,13.6364,0.5992,0.04,3.3189,-0.5919,25.6589,3.3781,11.1082,9.6474,11.3948,12.5762,4.0908,4.5307,13.8307,2.4032,7.3007,11.0937,9.202101,1.9042,7.4878,28.6351,5.3467,-22.9844,16.6735,4.0668,10.2376,-0.293,-2.476,16.2963,10.2815,8.5894,21.1382,13.7791,7.2819,-0.1352,-8.2887,10.6227,1.8673,2.2673,-0.9373,-0.3473,1.1258,6.4412,8.1066,4.4682,,,,,,
200204,-18.5294,-16.3194,-13.4672,0.7945,1.0712,-20.8529,-9.272699,-0.7942001,-0.1399,4.7029,7.2814,-2.3085,3.6615,-42.9146,5.8255,-1.7188,3.8307,-3.0247,-11.2861,7.298,16.245,-2.2429,-0.3516,-2.9591,2.5939,2.5109,15.4179,0.4475,-21.5625,-16.3322,5.9957,3.5853,1.949,9.3818,-19.9575,-6.3021,2.701,4.8954,2.4636,-4.4019,-2.3327,0.4973,2.1545,-8.827801,0.7767,-4.9478,-6.9699,-7.7215,10.4387,0.6542,-4.9617,,,,,,
200205,12.1029,10.3992,7.7133,11.205,-5.681,-7.1264,-23.8477,-4.2828,1.1411,0.9625,1.3321,-4.3309,3.6152,18.9702,1.6597,-1.6269,0.8499,4.0738,-1.4423,2.6076,5.5847,-4.0981,3.2201,-3.5764,-3.2394,-0.6814,-15.4597,1.9889,-21.1155,-4.736,6.1616,-6.6105,-4.1268,0.1987,-17.7719,1.612,-17.0319,-3.8765,-0.3476,-5.6239,2.0985,-7.8743,5.9623,-2.8571,0.1541,-6.4301,9.0794,3.0287,-38.3562,-0.125,-1.0523,,,,,,
200206,-4.8387,-11.0528,-11.597,-9.6203,-4.3154,-18.5644,-9.2105,-8.459399,-9.3148,-14.2006,-8.450701,-4.4646,5.7157,-38.3941,-4.0816,-10.7529,-5.3246,-9.3578,3.818,-13.9506,-2.1356,-7.5609,-3.515,0.4042,2.2047,-2.2247,-0.3125,-3.4633,19.5707,-5.2354,-9.276899,-6.177,5.7845,-1.9373,-11.9355,-13.1291,-38.8679,-17.5803,-0.6715,-17.2253,-6.9498,-3.6872,-5.5885,-10.1307,-6.9835,-6.2918,-7.5022,-2.5,-12.6667,-5.2393,-7.0249,,,,,,
200207,-9.830501,-8.4262,-5.448,-14.4538,-12.5148,-7.9635,-35.0725,-12.2246,-15.922,-6.1111,5.641,-6.348,-23.6295,-5.2554,-13.8636,0.7879,-11.2098,-12.5956,-12.7907,-11.2144,-20.8412,-6.2042,-8.2437,-1.039,1.752,-6.2141,-10.6135,-5.2769,5.6917,-5.8032,-7.7084,-7.5719,-6.1534,2.3008,-27.6557,-12.9723,-42.0988,-17.9097,-6.3198,-10.2137,-0.723,-11.9971,-15.4221,2.9091,-10.9129,-11.881,-4.7841,-1.7179,-41.4758,-11.4833,-8.1152,,,,,,
200208,1.6917,-10.5568,4.7763,7.334599,-0.027,-6.4049,9.8214,-2.9981,-1.7452,0.6903,-1.8447,2.7622,-2.8176,22.5781,-1.2203,3.4877,0.2757,4.7349,0.7083,4.3033,-21.1129,12.5694,4.7607,-6.4961,-15.4967,-3.6493,-7.8657,0.5846,-4.1862,5.8736,17.0455,-14.1,-2.7773,-0.2066,9.8734,3.5456,50.3198,9.4907,-2.1964,-9.0704,6.5046,-2.6462,12.7639,4.7114,-7.8947,0.9812,-3.4985,-4.0177,0,5.991,0.7979,,,,,,
200209,-16.8854,-18.7551,-24.1679,-17.8768,-0.1494,-30.8571,-35.3659,-17.0855,-8.2823,-9.0597,-8.6383,-13.7462,3.4207,-10.0542,-4.0401,-4.1798,-4.7489,-0.3686,-14.0774,-6.8689,-10.4429,-4.033,-3.9501,-2.5316,1.4107,1.4524,-8.269401,-16.7521,-18.0396,-20.6929,-8.7379,-10.5915,-7.3569,-11.9888,2.5346,-24.8078,-13.0496,2.4313,-7.5435,-15.817,-10.5922,-6.336,2.766,-9.2801,-6.1947,-17.5439,-9.9221,-11.1081,-5.6522,-3.4837,-9.9965,,,,,,
200210,26.3041,29.005,6.6794,-9.3611,3.6054,29.1322,-11.3208,1.6354,13.2404,7.8083,-18.6936,9.615399,-2.3362,2.5532,1.3222,2.1445,12.7624,9.962999,-0.6305,11.6379,19.2831,11.2701,10.7862,11.3853,-7.7743,6.1053,8.7761,-9.4567,29.6438,15.5549,9.468101,4.3524,0.0919,15.4315,1.1236,6.8773,-42.0881,7.5851,-8.8563,-18.1015,1.5361,-0.9183,4.6632,14.0112,19.3505,0.9165,9.6495,-14.5226,61.2903,-10.9467,7.4923,,,,,,
200211,9.186399,11.0678,33.4526,27.0492,9.2712,16.56,175.8865,16.1124,18.8974,0.7492,6.1252,-3.0653,2.9319,22.7524,-6.3187,2.7556,6.7696,5.4048,1.6593,9.9528,11.6394,-11.0822,-1.6855,2.9019,5.7444,0.4563,9.6597,8.4059,19.2345,16.2384,4.4704,5.5443,8.1359,2.7808,26.2222,9.391299,-7.0423,4.3165,3.6725,27.8577,6.2692,11.8165,-9.3267,6.5253,-3.6735,15.1754,9.0546,13.7572,13.1429,-3.6047,6.1271,,,,,,
